cell_id,icp_type,query,lat,lng,zoom,priority
nsw-gosford-central-coast-q4,foundation,house levelling,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q5,foundation,house relevelling,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q6,foundation,slab lifting,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q7,foundation,resin injection underpinning,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q8,foundation,subsidence repair,-33.4269,151.3417,13,P1
nsw-gosford-central-coast-q9,adjacent,house raising,-33.4269,151.3417,13,P2
nsw-wollongong-q0,foundation,underpinning,-34.4278,150.8931,13,P1
nsw-wollongong-q1,foundation,restumping,-34.4278,150.8931,13,P1
nsw-wollongong-q2,foundation,reblocking,-34.4278,150.8931,13,P1
nsw-wollongong-q3,foundation,foundation repair,-34.4278,150.8931,13,P1
nsw-wollongong-q4,foundation,house levelling,-34.4278,150.8931,13,P1
nsw-wollongong-q5,foundation,house relevelling,-34.4278,150.8931,13,P1
nsw-wollongong-q6,foundation,slab lifting,-34.4278,150.8931,13,P1
nsw-wollongong-q7,foundation,resin injection underpinning,-34.4278,150.8931,13,P1
nsw-wollongong-q8,foundation,subsidence repair,-34.4278,150.8931,13,P1
nsw-wollongong-q9,adjacent,house raising,-34.4278,150.8931,13,P2
nsw-shellharbour-kiama-q0,foundation,underpinning,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q1,foundation,restumping,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q2,foundation,reblocking,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q3,foundation,foundation repair,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q4,foundation,house levelling,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q5,foundation,house relevelling,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q6,foundation,slab lifting,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q7,foundation,resin injection underpinning,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q8,foundation,subsidence repair,-34.578,150.868,13,P1
nsw-shellharbour-kiama-q9,adjacent,house raising,-34.578,150.868,13,P2
nsw-nowra-q0,foundation,underpinning,-34.883,150.6,13,P1
nsw-nowra-q1,foundation,restumping,-34.883,150.6,13,P1
nsw-nowra-q2,foundation,reblocking,-34.883,150.6,13,P1
nsw-nowra-q3,foundation,foundation repair,-34.883,150.6,13,P1
nsw-nowra-q4,foundation,house levelling,-34.883,150.6,13,P1
nsw-nowra-q5,foundation,house relevelling,-34.883,150.6,13,P1
nsw-nowra-q6,foundation,slab lifting,-34.883,150.6,13,P1
nsw-nowra-q7,foundation,resin injection underpinning,-34.883,150.6,13,P1
nsw-nowra-q8,foundation,subsidence repair,-34.883,150.6,13,P1
nsw-nowra-q9,adjacent,house raising,-34.883,150.6,13,P2
nsw-ulladulla-q0,foundation,underpinning,-35.359,150.473,13,P1
nsw-ulladulla-q1,foundation,restumping,-35.359,150.473,13,P1
nsw-ulladulla-q2,foundation,reblocking,-35.359,150.473,13,P1
nsw-ulladulla-q3,foundation,foundation repair,-35.359,150.473,13,P1
nsw-ulladulla-q4,foundation,house levelling,-35.359,150.473,13,P1
nsw-ulladulla-q5,foundation,house relevelling,-35.359,150.473,13,P1
nsw-ulladulla-q6,foundation,slab lifting,-35.359,150.473,13,P1
