cell_id,icp_type,query,lat,lng,zoom,priority
tx-lubbock-q2,foundation,foundation repair company,33.5779,-101.8552,13,P1
tx-lubbock-q3,adjacent,basement waterproofing,33.5779,-101.8552,13,P2
tx-lubbock-q4,adjacent,crawl space repair,33.5779,-101.8552,13,P2
tx-lubbock-q5,adjacent,crawl space encapsulation,33.5779,-101.8552,13,P2
tx-lubbock-q6,adjacent,concrete leveling,33.5779,-101.8552,13,P2
tx-lubbock-q7,adjacent,mudjacking,33.5779,-101.8552,13,P2
tx-lubbock-q8,adjacent,house leveling,33.5779,-101.8552,13,P2
tx-lubbock-q9,adjacent,structural repair,33.5779,-101.8552,13,P2
tx-amarillo-q0,foundation,foundation repair,35.222,-101.8313,13,P1
tx-amarillo-q1,foundation,foundation contractor,35.222,-101.8313,13,P1
tx-amarillo-q2,foundation,foundation repair company,35.222,-101.8313,13,P1
tx-amarillo-q3,adjacent,basement waterproofing,35.222,-101.8313,13,P2
tx-amarillo-q4,adjacent,crawl space repair,35.222,-101.8313,13,P2
tx-amarillo-q5,adjacent,crawl space encapsulation,35.222,-101.8313,13,P2
tx-amarillo-q6,adjacent,concrete leveling,35.222,-101.8313,13,P2
tx-amarillo-q7,adjacent,mudjacking,35.222,-101.8313,13,P2
tx-amarillo-q8,adjacent,house leveling,35.222,-101.8313,13,P2
tx-amarillo-q9,adjacent,structural repair,35.222,-101.8313,13,P2
tx-mcallen-q0,foundation,foundation repair,26.2034,-98.23,13,P1
tx-mcallen-q1,foundation,foundation contractor,26.2034,-98.23,13,P1
tx-mcallen-q2,foundation,foundation repair company,26.2034,-98.23,13,P1
tx-mcallen-q3,adjacent,basement waterproofing,26.2034,-98.23,13,P2
tx-mcallen-q4,adjacent,crawl space repair,26.2034,-98.23,13,P2
tx-mcallen-q5,adjacent,crawl space encapsulation,26.2034,-98.23,13,P2
tx-mcallen-q6,adjacent,concrete leveling,26.2034,-98.23,13,P2
tx-mcallen-q7,adjacent,mudjacking,26.2034,-98.23,13,P2
tx-mcallen-q8,adjacent,house leveling,26.2034,-98.23,13,P2
tx-mcallen-q9,adjacent,structural repair,26.2034,-98.23,13,P2
tx-waco-q0,foundation,foundation repair,31.5493,-97.1467,13,P1
tx-waco-q1,foundation,foundation contractor,31.5493,-97.1467,13,P1
tx-waco-q2,foundation,foundation repair company,31.5493,-97.1467,13,P1
tx-waco-q3,adjacent,basement waterproofing,31.5493,-97.1467,13,P2
tx-waco-q4,adjacent,crawl space repair,31.5493,-97.1467,13,P2
tx-waco-q5,adjacent,crawl space encapsulation,31.5493,-97.1467,13,P2
tx-waco-q6,adjacent,concrete leveling,31.5493,-97.1467,13,P2
tx-waco-q7,adjacent,mudjacking,31.5493,-97.1467,13,P2
tx-waco-q8,adjacent,house leveling,31.5493,-97.1467,13,P2
