cell_id,icp_type,query,lat,lng,zoom,priority
al-huntsville-q2,generator,standby generator installer,34.6977,-86.6767,13,P1
al-huntsville-q3,generator,Generac dealer,34.6977,-86.6767,13,P2
al-huntsville-q4,generator,generator shop,34.6977,-86.6767,13,P2
al-birmingham-q0,generator,generator installation,33.5272,-86.797,13,P1
al-birmingham-q1,generator,generator dealer,33.5272,-86.797,13,P1
al-birmingham-q2,generator,standby generator installer,33.5272,-86.797,13,P1
al-birmingham-q3,generator,Generac dealer,33.5272,-86.797,13,P2
al-birmingham-q4,generator,generator shop,33.5272,-86.797,13,P2
al-montgomery-q0,generator,generator installation,32.3485,-86.2673,13,P1
al-montgomery-q1,generator,generator dealer,32.3485,-86.2673,13,P1
al-montgomery-q2,generator,standby generator installer,32.3485,-86.2673,13,P1
al-montgomery-q3,generator,Generac dealer,32.3485,-86.2673,13,P2
al-montgomery-q4,generator,generator shop,32.3485,-86.2673,13,P2
al-mobile-q0,generator,generator installation,30.6682,-88.1079,13,P1
al-mobile-q1,generator,generator dealer,30.6682,-88.1079,13,P1
al-mobile-q2,generator,standby generator installer,30.6682,-88.1079,13,P1
al-mobile-q3,generator,Generac dealer,30.6682,-88.1079,13,P2
al-mobile-q4,generator,generator shop,30.6682,-88.1079,13,P2
al-tuscaloosa-q0,generator,generator installation,33.2344,-87.5283,13,P1
al-tuscaloosa-q1,generator,generator dealer,33.2344,-87.5283,13,P1
al-tuscaloosa-q2,generator,standby generator installer,33.2344,-87.5283,13,P1
al-tuscaloosa-q3,generator,Generac dealer,33.2344,-87.5283,13,P2
al-tuscaloosa-q4,generator,generator shop,33.2344,-87.5283,13,P2
al-dothan-q0,generator,generator installation,31.2337,-85.4068,13,P1
al-dothan-q1,generator,generator dealer,31.2337,-85.4068,13,P1
al-dothan-q2,generator,standby generator installer,31.2337,-85.4068,13,P1
al-dothan-q3,generator,Generac dealer,31.2337,-85.4068,13,P2
al-dothan-q4,generator,generator shop,31.2337,-85.4068,13,P2
al-florence-q0,generator,generator installation,34.8298,-87.6622,13,P1
al-florence-q1,generator,generator dealer,34.8298,-87.6622,13,P1
al-florence-q2,generator,standby generator installer,34.8298,-87.6622,13,P1
al-florence-q3,generator,Generac dealer,34.8298,-87.6622,13,P2
al-florence-q4,generator,generator shop,34.8298,-87.6622,13,P2
al-gadsden-q0,generator,generator installation,34.0066,-86.0161,13,P1
al-gadsden-q1,generator,generator dealer,34.0066,-86.0161,13,P1
al-gadsden-q2,generator,standby generator installer,34.0066,-86.0161,13,P1
al-gadsden-q3,generator,Generac dealer,34.0066,-86.0161,13,P2
al-gadsden-q4,generator,generator shop,34.0066,-86.0161,13,P2
al-monroeville-q0,generator,generator installation,31.5162,-87.3277,13,P1
al-monroeville-q1,generator,generator dealer,31.5162,-87.3277,13,P1
al-monroeville-q2,generator,standby generator installer,31.5162,-87.3277,13,P1
al-monroeville-q3,generator,Generac dealer,31.5162,-87.3277,13,P2
al-monroeville-q4,generator,generator shop,31.5162,-87.3277,13,P2
ar-little-rock-q0,generator,generator installation,34.7254,-92.3586,13,P1
ar-little-rock-q1,generator,generator dealer,34.7254,-92.3586,13,P1
ar-little-rock-q2,generator,standby generator installer,34.7254,-92.3586,13,P1
ar-little-rock-q3,generator,Generac dealer,34.7254,-92.3586,13,P2
ar-little-rock-q4,generator,generator shop,34.7254,-92.3586,13,P2
ar-fayetteville-q0,generator,generator installation,36.0715,-94.1666,13,P1
ar-fayetteville-q1,generator,generator dealer,36.0715,-94.1666,13,P1
ar-fayetteville-q2,generator,standby generator installer,36.0715,-94.1666,13,P1
ar-fayetteville-q3,generator,Generac dealer,36.0715,-94.1666,13,P2
ar-fayetteville-q4,generator,generator shop,36.0715,-94.1666,13,P2
ar-fort-smith-q0,generator,generator installation,35.3493,-94.3709,13,P1
ar-fort-smith-q1,generator,generator dealer,35.3493,-94.3709,13,P1
ar-fort-smith-q2,generator,standby generator installer,35.3493,-94.3709,13,P1
ar-fort-smith-q3,generator,Generac dealer,35.3493,-94.3709,13,P2
ar-fort-smith-q4,generator,generator shop,35.3493,-94.3709,13,P2
ar-jonesboro-q0,generator,generator installation,35.8198,-90.679,13,P1
ar-jonesboro-q1,generator,generator dealer,35.8198,-90.679,13,P1
ar-jonesboro-q2,generator,standby generator installer,35.8198,-90.679,13,P1
ar-jonesboro-q3,generator,Generac dealer,35.8198,-90.679,13,P2
ar-jonesboro-q4,generator,generator shop,35.8198,-90.679,13,P2
