cell_id,icp_type,query,lat,lng,zoom,priority
co-grand-junction-q3,adjacent,basement waterproofing,39.0639,-108.5506,13,P2
co-loveland-q1,foundation,foundation contractor,40.3978,-105.075,13,P1
co-loveland-q9,adjacent,structural repair,40.3978,-105.075,13,P2
co-longmont-q7,adjacent,mudjacking,40.1672,-105.1019,13,P2
co-castle-rock-q5,adjacent,crawl space encapsulation,39.3722,-104.8561,13,P2
mo-st-louis-q3,adjacent,basement waterproofing,38.627,-90.1994,13,P2
mo-kansas-city-mo-q1,foundation,foundation contractor,39.0997,-94.5786,13,P1
mo-kansas-city-mo-q9,adjacent,structural repair,39.0997,-94.5786,13,P2
mo-springfield-mo-q7,adjacent,mudjacking,37.209,-93.2923,13,P2
mo-columbia-mo-q5,adjacent,crawl space encapsulation,38.9517,-92.3341,13,P2
mo-joplin-q3,adjacent,basement waterproofing,37.0842,-94.5133,13,P2
mo-jefferson-city-q1,foundation,foundation contractor,38.5767,-92.1735,13,P1
mo-jefferson-city-q9,adjacent,structural repair,38.5767,-92.1735,13,P2
mo-st-joseph-q7,adjacent,mudjacking,39.7675,-94.8467,13,P2
mo-cape-girardeau-q5,adjacent,crawl space encapsulation,37.3059,-89.5181,13,P2
mo-branson-q3,adjacent,basement waterproofing,36.6437,-93.2185,13,P2
la-new-orleans-q1,foundation,foundation contractor,29.9511,-90.0715,13,P1
la-new-orleans-q9,adjacent,structural repair,29.9511,-90.0715,13,P2
la-baton-rouge-q7,adjacent,mudjacking,30.4515,-91.1871,13,P2
la-shreveport-q5,adjacent,crawl space encapsulation,32.5252,-93.7502,13,P2
la-lafayette-la-q3,adjacent,basement waterproofing,30.2241,-92.0198,13,P2
la-lake-charles-q1,foundation,foundation contractor,30.2266,-93.2174,13,P1
la-lake-charles-q9,adjacent,structural repair,30.2266,-93.2174,13,P2
la-monroe-la-q7,adjacent,mudjacking,32.5093,-92.1193,13,P2
la-alexandria-la-q5,adjacent,crawl space encapsulation,31.3113,-92.4451,13,P2
la-houma-q3,adjacent,basement waterproofing,29.5958,-90.7195,13,P2
la-slidell-covington-q1,foundation,foundation contractor,30.2752,-89.7812,13,P1
la-slidell-covington-q9,adjacent,structural repair,30.2752,-89.7812,13,P2
ar-little-rock-q7,adjacent,mudjacking,34.7465,-92.2896,13,P2
ar-nw-arkansas-q5,adjacent,crawl space encapsulation,36.0626,-94.1574,13,P2
ar-fort-smith-q3,adjacent,basement waterproofing,35.3859,-94.3985,13,P2
ar-jonesboro-q1,foundation,foundation contractor,35.8423,-90.7043,13,P1
ar-jonesboro-q9,adjacent,structural repair,35.8423,-90.7043,13,P2
ar-conway-q7,adjacent,mudjacking,35.0887,-92.4421,13,P2
ar-hot-springs-q5,adjacent,crawl space encapsulation,34.5037,-93.0552,13,P2
ar-pine-bluff-q3,adjacent,basement waterproofing,34.2284,-92.0032,13,P2
