cell_id,icp_type,query,lat,lng,zoom,priority
co-pueblo-q6,adjacent,concrete leveling,38.2544,-104.6091,13,P2
co-greeley-q4,adjacent,crawl space repair,40.4233,-104.7091,13,P2
co-grand-junction-q2,foundation,foundation repair company,39.0639,-108.5506,13,P1
co-loveland-q0,foundation,foundation repair,40.3978,-105.075,13,P1
co-loveland-q8,adjacent,house leveling,40.3978,-105.075,13,P2
co-longmont-q6,adjacent,concrete leveling,40.1672,-105.1019,13,P2
co-castle-rock-q4,adjacent,crawl space repair,39.3722,-104.8561,13,P2
mo-st-louis-q2,foundation,foundation repair company,38.627,-90.1994,13,P1
mo-kansas-city-mo-q0,foundation,foundation repair,39.0997,-94.5786,13,P1
mo-kansas-city-mo-q8,adjacent,house leveling,39.0997,-94.5786,13,P2
mo-springfield-mo-q6,adjacent,concrete leveling,37.209,-93.2923,13,P2
mo-columbia-mo-q4,adjacent,crawl space repair,38.9517,-92.3341,13,P2
mo-joplin-q2,foundation,foundation repair company,37.0842,-94.5133,13,P1
mo-jefferson-city-q0,foundation,foundation repair,38.5767,-92.1735,13,P1
mo-jefferson-city-q8,adjacent,house leveling,38.5767,-92.1735,13,P2
mo-st-joseph-q6,adjacent,concrete leveling,39.7675,-94.8467,13,P2
mo-cape-girardeau-q4,adjacent,crawl space repair,37.3059,-89.5181,13,P2
mo-branson-q2,foundation,foundation repair company,36.6437,-93.2185,13,P1
la-new-orleans-q0,foundation,foundation repair,29.9511,-90.0715,13,P1
la-new-orleans-q8,adjacent,house leveling,29.9511,-90.0715,13,P2
la-baton-rouge-q6,adjacent,concrete leveling,30.4515,-91.1871,13,P2
la-shreveport-q4,adjacent,crawl space repair,32.5252,-93.7502,13,P2
la-lafayette-la-q2,foundation,foundation repair company,30.2241,-92.0198,13,P1
la-lake-charles-q0,foundation,foundation repair,30.2266,-93.2174,13,P1
la-lake-charles-q8,adjacent,house leveling,30.2266,-93.2174,13,P2
la-monroe-la-q6,adjacent,concrete leveling,32.5093,-92.1193,13,P2
la-alexandria-la-q4,adjacent,crawl space repair,31.3113,-92.4451,13,P2
la-houma-q2,foundation,foundation repair company,29.5958,-90.7195,13,P1
la-slidell-covington-q0,foundation,foundation repair,30.2752,-89.7812,13,P1
la-slidell-covington-q8,adjacent,house leveling,30.2752,-89.7812,13,P2
ar-little-rock-q6,adjacent,concrete leveling,34.7465,-92.2896,13,P2
ar-nw-arkansas-q4,adjacent,crawl space repair,36.0626,-94.1574,13,P2
ar-fort-smith-q2,foundation,foundation repair company,35.3859,-94.3985,13,P1
ar-jonesboro-q0,foundation,foundation repair,35.8423,-90.7043,13,P1
ar-jonesboro-q8,adjacent,house leveling,35.8423,-90.7043,13,P2
ar-conway-q6,adjacent,concrete leveling,35.0887,-92.4421,13,P2
ar-hot-springs-q4,adjacent,crawl space repair,34.5037,-93.0552,13,P2
ar-pine-bluff-q2,foundation,foundation repair company,34.2284,-92.0032,13,P1
ar-texarkana-q0,foundation,foundation repair,33.4418,-94.0377,13,P1
ar-texarkana-q8,adjacent,house leveling,33.4418,-94.0377,13,P2
