cell_id,icp_type,query,lat,lng,zoom,priority
co-colorado-springs-q8,adjacent,house leveling,38.8339,-104.8214,13,P2
mo-branson-q6,adjacent,concrete leveling,36.6437,-93.2185,13,P2
la-new-orleans-q4,adjacent,crawl space repair,29.9511,-90.0715,13,P2
la-baton-rouge-q2,foundation,foundation repair company,30.4515,-91.1871,13,P1
la-shreveport-q0,foundation,foundation repair,32.5252,-93.7502,13,P1
la-shreveport-q8,adjacent,house leveling,32.5252,-93.7502,13,P2
la-lafayette-la-q6,adjacent,concrete leveling,30.2241,-92.0198,13,P2
la-lake-charles-q4,adjacent,crawl space repair,30.2266,-93.2174,13,P2
la-monroe-la-q2,foundation,foundation repair company,32.5093,-92.1193,13,P1
la-alexandria-la-q0,foundation,foundation repair,31.3113,-92.4451,13,P1
la-alexandria-la-q8,adjacent,house leveling,31.3113,-92.4451,13,P2
la-houma-q6,adjacent,concrete leveling,29.5958,-90.7195,13,P2
la-slidell-covington-q4,adjacent,crawl space repair,30.2752,-89.7812,13,P2
ar-little-rock-q2,foundation,foundation repair company,34.7465,-92.2896,13,P1
ar-nw-arkansas-q0,foundation,foundation repair,36.0626,-94.1574,13,P1
ar-nw-arkansas-q8,adjacent,house leveling,36.0626,-94.1574,13,P2
ar-fort-smith-q6,adjacent,concrete leveling,35.3859,-94.3985,13,P2
ar-jonesboro-q4,adjacent,crawl space repair,35.8423,-90.7043,13,P2
ar-conway-q2,foundation,foundation repair company,35.0887,-92.4421,13,P1
ar-hot-springs-q0,foundation,foundation repair,34.5037,-93.0552,13,P1
ar-hot-springs-q8,adjacent,house leveling,34.5037,-93.0552,13,P2
ar-pine-bluff-q6,adjacent,concrete leveling,34.2284,-92.0032,13,P2
ar-texarkana-q4,adjacent,crawl space repair,33.4418,-94.0377,13,P2
ar-russellville-q2,foundation,foundation repair company,35.2784,-93.1338,13,P1
ok-oklahoma-city-q0,foundation,foundation repair,35.4676,-97.5164,13,P1
ok-oklahoma-city-q8,adjacent,house leveling,35.4676,-97.5164,13,P2
ok-tulsa-q6,adjacent,concrete leveling,36.154,-95.9928,13,P2
ok-lawton-q4,adjacent,crawl space repair,34.6036,-98.3959,13,P2
ok-stillwater-q2,foundation,foundation repair company,36.1156,-97.0584,13,P1
ok-enid-q0,foundation,foundation repair,36.3956,-97.8784,13,P1
ok-enid-q8,adjacent,house leveling,36.3956,-97.8784,13,P2
ok-muskogee-q6,adjacent,concrete leveling,35.7479,-95.3697,13,P2
ok-ardmore-q4,adjacent,crawl space repair,34.1743,-97.1436,13,P2
ok-bartlesville-q2,foundation,foundation repair company,36.7473,-95.9808,13,P1
ks-wichita-q0,foundation,foundation repair,37.6872,-97.3301,13,P1
ks-wichita-q8,adjacent,house leveling,37.6872,-97.3301,13,P2
ks-overland-park-q6,adjacent,concrete leveling,38.9822,-94.6708,13,P2
ks-topeka-q4,adjacent,crawl space repair,39.0473,-95.6752,13,P2
ks-lawrence-ks-q2,foundation,foundation repair company,38.9717,-95.2353,13,P1
ks-manhattan-ks-q0,foundation,foundation repair,39.1836,-96.5717,13,P1
ks-manhattan-ks-q8,adjacent,house leveling,39.1836,-96.5717,13,P2
ks-salina-q6,adjacent,concrete leveling,38.8403,-97.6114,13,P2
ks-hutchinson-q4,adjacent,crawl space repair,38.0608,-97.9298,13,P2
tn-memphis-q2,foundation,foundation repair company,35.1495,-90.049,13,P1
tn-chattanooga-q0,foundation,foundation repair,35.0456,-85.3097,13,P1
tn-chattanooga-q8,adjacent,house leveling,35.0456,-85.3097,13,P2
fl-jacksonville-q6,adjacent,concrete leveling,30.3322,-81.6557,13,P2
tx-houston-spring-q4,adjacent,crawl space repair,30.08,-95.42,13,P2
tx-houston-katy-q2,foundation,foundation repair company,29.79,-95.82,13,P1
tx-houston-sugar-land-q0,foundation,foundation repair,29.62,-95.63,13,P1
tx-houston-sugar-land-q8,adjacent,house leveling,29.62,-95.63,13,P2
tx-houston-pasadena-q6,adjacent,concrete leveling,29.69,-95.21,13,P2
tx-houston-humble-q4,adjacent,crawl space repair,29.99,-95.26,13,P2
tx-dallas-plano-q2,foundation,foundation repair company,33.02,-96.7,13,P1
tx-dallas-mesquite-q0,foundation,foundation repair,32.81,-96.62,13,P1
tx-dallas-mesquite-q8,adjacent,house leveling,32.81,-96.62,13,P2
tx-dallas-irving-q6,adjacent,concrete leveling,32.81,-96.95,13,P2
tx-fw-arlington-q4,adjacent,crawl space repair,32.74,-97.11,13,P2
tx-fw-keller-q2,foundation,foundation repair company,32.93,-97.25,13,P1
tx-sa-stone-oak-q0,foundation,foundation repair,29.62,-98.49,13,P1
tx-sa-stone-oak-q8,adjacent,house leveling,29.62,-98.49,13,P2
tx-sa-west-q6,adjacent,concrete leveling,29.45,-98.68,13,P2
tx-austin-round-rock-q4,adjacent,crawl space repair,30.51,-97.68,13,P2
tx-austin-kyle-q2,foundation,foundation repair company,30.09,-97.83,13,P1
ga-atl-marietta-q0,foundation,foundation repair,33.95,-84.55,13,P1
ga-atl-marietta-q8,adjacent,house leveling,33.95,-84.55,13,P2
ga-atl-alpharetta-q6,adjacent,concrete leveling,34.07,-84.29,13,P2
ga-atl-decatur-q4,adjacent,crawl space repair,33.79,-84.2,13,P2
ga-atl-jonesboro-q2,foundation,foundation repair company,33.52,-84.35,13,P1
ga-atl-douglasville-q0,foundation,foundation repair,33.75,-84.75,13,P1
ga-atl-douglasville-q8,adjacent,house leveling,33.75,-84.75,13,P2
co-den-aurora-q6,adjacent,concrete leveling,39.71,-104.81,13,P2
co-den-lakewood-q4,adjacent,crawl space repair,39.7,-105.08,13,P2
co-den-littleton-q2,foundation,foundation repair company,39.56,-104.99,13,P1
mo-stl-st-charles-q0,foundation,foundation repair,38.78,-90.51,13,P1
mo-stl-st-charles-q8,adjacent,house leveling,38.78,-90.51,13,P2
mo-stl-south-county-q6,adjacent,concrete leveling,38.52,-90.32,13,P2
mo-kc-independence-q4,adjacent,crawl space repair,39.09,-94.42,13,P2
mo-kc-north-q2,foundation,foundation repair company,39.24,-94.58,13,P1
ok-okc-norman-q0,foundation,foundation repair,35.22,-97.44,13,P1
ok-okc-norman-q8,adjacent,house leveling,35.22,-97.44,13,P2
ok-okc-edmond-q6,adjacent,concrete leveling,35.65,-97.48,13,P2
ok-tulsa-broken-arrow-q4,adjacent,crawl space repair,36.05,-95.79,13,P2
la-nola-metairie-q2,foundation,foundation repair company,30,-90.25,13,P1
al-bham-hoover-q0,foundation,foundation repair,33.4,-86.8,13,P1
al-bham-hoover-q8,adjacent,house leveling,33.4,-86.8,13,P2
tn-memphis-bartlett-q6,adjacent,concrete leveling,35.2,-89.87,13,P2
fl-jax-orange-park-q4,adjacent,crawl space repair,30.17,-81.71,13,P2
